name,domain,mx,grade,dmarc_policy,dmarc_pct,dmarc_reporting,spf_mode,dkim_found,note,spf,dmarc
Asheboro,asheboronc.gov,True,MONITOR_ONLY,none,100,yes,softfail (~all),none of common selectors,,v=spf1 a:dispatch-us.ppe-hosted.com include:spf-00566301.pphosted.com include:revize.com ~all,v=DMARC1;p=none;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1
Asheville,ashevillenc.gov,True,MONITOR_ONLY,none,100,no,hardfail (-all),"google,s1,s2,smtp",,v=spf1 mx a:mail.ashevillenc.gov ip4:72.250.240.32/27 include:_spf.google.com include:_x2spf.paymentus.com include:mailgun.org include:_spf.salesforce.com -all,v=DMARC1; p=none;
Atkinson,atkinsonnc.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf-us.ionos.com include:spf.protection.outlook.com ~all,
Atlantic Beach,atlanticbeach-nc.com,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),"selector1,default",,v=spf1 include:spf.protection.outlook.com include:amazonses.com include:spf.constantcontact.com -all,v=DMARC1; p=reject; rua=mailto:wat@bizec.rr.com; adkim=s;
Aurora,auroranc.gov,True,MONITOR_ONLY,none,100,no,NONE,none of common selectors,no SPF record either,,v=DMARC1; p=none
Autryville,townofautryville.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:secureserver.net -all,
Ayden,ayden.com,True,ENFORCED_QUARANTINE,quarantine,100,no,hardfail (-all),selector2,,v=spf1 ip4:216.82.62.211 ip4:216.82.62.212 ip4:216.82.62.210 ip4:195.252.194.19 ip4:195.252.194.16 ip4:195.252.194.17 ip4:207.192.225.2 ip4:208.180.149.78 ip4:64.76.198.45 ip4:66.76.209.13 ip4:54.83.5.239 ip4:23.23.120.168 ip4:3.82.78.114 ip4:35.175.42.38 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine
Badin,badin.org,True,NO_DMARC,NONE,,,softfail (~all),default,,v=spf1 ip4:198.1.126.208 a mx ~all,
Bailey,townofbaileync.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Bakersville,bakersvillenc.com,True,MONITOR_ONLY,none,100,yes,softfail (~all),none of common selectors,,v=spf1 include:spf.em.secureserver.net include:_spf-usg2.ppe-hosted.com include:secureserver.net ~all,v=DMARC1; p=none; rua=mailto:dmarc_rua@onsecureserver.net
Bald Head Island,villagebhi.org,True,NO_DMARC,NONE,,,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com -all,
Banner Elk,townofbannerelk.org,True,ENFORCED_REJECT,reject,100,no,hardfail (-all),dkim,,v=spf1 mx ptr include:_spf.reply.zone include:_spf.adnsolutions.com include:spf.protection.outlook.com -all,v=DMARC1; p=reject
Bath,townofbathnc.com,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Bayboro,bayboronc.gov,True,MONITOR_ONLY,none,100,no,softfail (~all),none of common selectors,,v=spf1 a mx include:websitewelcome.com ~all,v=DMARC1; p=none
Beaufort,beaufortnc.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com include:_spf.teamaha.com -all,
Beech Mountain,townofbeechmountain.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),"selector1,selector2,dkim,s1,s2",,v=spf1 include:spf.protection.outlook.com include:_spf.robly.com include:mailgun.org -all,v=DMARC1; p=quarantine; rua=mailto:admins@nordicits.com
Belhaven,townofbelhaven.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),"google,selector1,selector2",,v=spf1 include:_spf.google.com include:spf.protection.outlook.com ~all,v=DMARC1; p=quarantine; rua=mailto:dmarcreports@soundsidegroup.com;
Belmont,cityofbelmont.org,True,MONITOR_ONLY,none,100,yes,hardfail (-all),selector2,,v=spf1 include:spfa.mailendo.com include:spf.protection.outlook.com include:u144538.wl039.sendgrid.net include:50157120.spf01.hubspotemail.net include:spf.ess.barracudanetworks.com -all,v=DMARC1; p=none; fo=1; rua=mailto:rua+cityofbelmont.org@dmarc.barracudanetworks.com; ruf=mailto:ruf+cityofbelmont.org@dmarc.barracudanetworks.com
Belville,townofbelville.com,True,NO_DMARC,NONE,,,hardfail (-all),default,,v=spf1 ip4:70.32.105.45 include:spf.protection.outlook.com -all,
Benson,townofbenson.com,True,MONITOR_ONLY,none,90,yes,softfail (~all),selector2,,v=spf1 ip4:24.177.28.17 ip4:24.177.28.18 ip4:75.136.246.190 ip4:24.216.1.110 ip4:24.216.17.22 ip4:24.216.18.134 ip4:66.168.127.31 include:spf.protection.outlook.com a:dispatch-us.ppe-hosted.com ~all,v=DMARC1; p=none; pct=90; rua=mailto:dmarc@townofbenson.com; ruf=mailto:dmarc@townofbenson.com
Bermuda Run,bermudarun.gov,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:edgepilot.com -all,
Bessemer City,bessemercity.com,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector2,,v=spf1 IP4:24.142.194.118 include:spf.protection.outlook.com include:spf.ess.barracudanetworks.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:rua+bessemercity.com@dmarc.barracudanetworks.com; ruf=mailto:ruf+bessemercity.com@dmarc.barracudanetworks.com
Bethania,townofbethania.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 a mx include:_spf.superb.net ~all,
Bethel,bethelnc.org,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Beulaville,townofbeulaville.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Biltmore Forest,biltmoreforest.org,True,ENFORCED_QUARANTINE,quarantine,100,no,hardfail (-all),selector2,,v=spf1 ip4:135.237.219.200  ip4:72.250.244.202 ip4:64.28.222.29 ip4:64.28.222.112 include:spf.protection.outlook.com include:biltmoreforest-org.email.web.vc3.com include:mailgun.org a:dispatch-us.ppe-hosted.com  -all,v=DMARC1; p=quarantine
Biscoe,townofbiscoe.gov,True,ENFORCED_QUARANTINE,quarantine,100,no,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine;pct=100;
Black Creek,townofblackcreek.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf.google.com ~all,
Black Mountain,townofblackmountain.org,True,ENFORCED_REJECT,reject,100,no,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com include:_spf.reply.zone include:emergencyreporting.com -all,v=DMARC1; p=reject;
Bladenboro,bladenboronc.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 mx ~all,
Blowing Rock,townofblowingrocknc.gov,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=reject; pct=100; rua=mailto:7f3a19fb167a445ba0ee278a397ea9e4@dmarc-reports.cloudflare.net
Bogue,bogue-nc.org,True,NO_DMARC,NONE,,,neutral (?all),none of common selectors,,v=spf1 a mx ptr include:bluehost.com ?all,
Boiling Spring Lakes,cityofbsl.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),selector2,,v=spf1 ip4:152.19.146.0/24 ip4:24.199.180.166 ip4:24.199.247.14 ip4:70.40.100.135 ip4:208.43.76.98 ip4:70.62.77.242 include:_spf.google.com include:spf.protection.outlook.com include:cityofbsl-org.email.web.vc3.com -all,v=DMARC1; p=quarantine; rua=mailto:c9b6e3e23339417@rep.dmarcanalyzer.com; pct=100; sp=none
Boiling Springs,boilingspringsnc.gov,True,MONITOR_ONLY,none,100,yes,hardfail (-all),none of common selectors,,v=spf1 ip4:24.172.112.2 include:spf.protection.outlook.com a:mail11.coderedweb.com a:mail12.coderedweb.com a:mail13.coderedweb.com  a:mail14.coderedweb.com a:mail15.coderedweb.com a:mail16.coderedweb.com  a:mail21.coderedweb.com a:mail22.coderedweb.com a:mail23.coderedweb.com  a:mail24.coderedweb.com a:mail25.coderedweb.com a:mail26.coderedweb.com  a:mail31.coderedweb.com a:mail32.coderedweb.com a:mail33.coderedweb.com  a:mail34.coderedweb.com a:mail35.coderedweb.com a:mail36.coderedweb.com -all,v=DMARC1; p=none; rua=mailto:dmarc@boilingspringsnc.gov; ruf=mailto:dmarc@boilingspringsnc.gov; fo=1
Bolivia,townofbolivia.org,True,NO_DMARC,NONE,,,softfail (~all),default,,v=spf1 a mx include:websitewelcome.com ~all,
Bolton,townofboltonnc.com,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Boone,townofboone.net,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),none of common selectors,,v=spf1 a mx include:appriver.com -all,v=DMARC1; p=quarantine; rua=mailto:dmarc-reports@expertip.net; ruf=mailto:dmarc-reports@expertip.net; fo=1; adkim=r; aspf=r
Boonville,boonvillenc.com,True,MONITOR_ONLY,none,100,no,softfail (~all),"google,default",,v=spf1 ip4:195.250.26.215 include:spf.mysecurecloudhost.com +a +mx include:relay.mailchannels.net +ip4:205.134.255.142 include:_spf.google.com ~all,v=DMARC1; p=none;
Bostic,townofbostic.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Brevard,cityofbrevard.com,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),none of common selectors,,v=spf1 mx a ptr include:_spf.adnsolutions.com include:spf.protection.outlook.com include:spf.constantcontact.com include:_spf.reply.zone -all,v=DMARC1; p=reject; rua=mailto:adns@cityofbrevard.com; ruf=mailto:adns@cityofbrevard.com; sp=reject; fo=1;
Bridgeton,townofbridgetonnc.gov,True,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Broadway,broadwaync.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:support@cwitsupport.com; ruf=mailto:support@cwitsupport.com; fo=1
Brookford,brookfordnc.gov,True,MONITOR_ONLY,none,100,no,no all mechanism,default,,v=spf1 include:one.zoho.com,v=DMARC1; p=none; aspf=r; adkim=r;
Brunswick,townofbrunswicknc.gov,False,ENFORCED_QUARANTINE,quarantine,100,yes,NONE,none of common selectors,,,v=DMARC1; p=quarantine; adkim=r; aspf=r; rua=mailto:dmarc_rua@onsecureserver.net;
Bryson City,brysoncitync.gov,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Bunn,townofbunn.org,True,NO_DMARC,NONE,,,softfail (~all),default,,v=spf1 +a +mx +ip4:50.87.144.89 +include:websitewelcome.com ~all,
Burgaw,burgawnc.gov,True,NO_DMARC,NONE,,,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com -all,
Burlington,burlingtonnc.gov,True,MONITOR_ONLY,none,100,yes,softfail (~all),selector1,,v=spf1 include:spf.protection.outlook.com  include:spf-00379702.pphosted.com ~all,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com
Burnsville,townofburnsville.org,True,MONITOR_ONLY,none,100,no,softfail (~all),"google,default",,v=spf1 include:_spf.google.com include:townofburnsville.org.spf.auto.dnssmarthost.net ~all,v=DMARC1; p=none; aspf=r; adkim=r;
Butner,butnernc.org,True,PARTIAL,quarantine,90,yes,softfail (~all),selector2,policy quarantine applied to only 90% of mail,v=spf1 ip4:24.199.150.250 ip4:64.28.198.175 ip4:98.101.161.34 ip4:50.52.138.214 ip4:24.142.200.3 include:spf.protection.outlook.com ~all,v=DMARC1;p=quarantine;pct=90;rua=mailto:dmarc@butnernc.org;ruf=mailto:dmarc@butnernc.org;ri=86400;fo=1;
Cajah's Mountain,cajahsmtn.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Calabash,townofcalabash.net,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Calypso,townofcalypsonc.org,True,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Camden,camdencountync.gov,True,ENFORCED_REJECT,reject,100,yes,softfail (~all),"selector1,s1,s2",,v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:amazonses.com ~all,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email
Cameron,townofcameron.com,True,NO_DMARC,NONE,,,hardfail (-all),selector1,,v=spf1 include:sof.protection.outlook.com -all,
Candor,townofcandornc.com,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf.google.com ~all,
Canton,cantonnc.com,True,NO_DMARC,NONE,,,softfail (~all),"selector1,selector2",,v=spf1 include:spf.protection.outlook.com include:spf1.emailsecurity.app include:_spf.psm.knowbe4.com ~all,
Cape Carteret,townofcapecarteret.org,True,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Carolina Beach,carolinabeach.gov,True,MONITOR_ONLY,none,100,no,hardfail (-all),"selector1,selector2",,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=none
Carolina Shores,townofcarolinashores.com,True,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Carrboro,townofcarrboro.org,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),none of common selectors,,v=spf1 mx ip4:152.19.146.0/26 ip4:198.85.222.134 include:spf.protection.outlook.com -all,"v=DMARC1; p=reject; adkim=s; aspf=s; rua=mailto:vfnzxzjs@ag.dmarcian.com, mailto:dmarc@carrboronc.gov; ruf=mailto:vfnzxzjs@fr.dmarcian.com, mailto:dmarc@carrboronc.gov; fo=1;"
Carthage,townofcarthage.org,True,NO_DMARC,NONE,,,hardfail (-all),selector1,,v=spf1 ip4:70.63.181.234 include:spf.protection.outlook.com include:mailSPF.smtp.com -all,
Cary,carync.gov,True,MONITOR_ONLY,none,100,no,hardfail (-all),"selector1,default",,v=spf1 ip4:74.114.64.241 include:spf.protection.outlook.com include:_spf.salesforce.com include:_spf.box.com include:amazonses.com include:spf_c.oraclecloud.com include:outbound.smtp.wisestamp.net include:46235791.spf06.hubspotemail.net -all,v=DMARC1; p=none; pct=100
Caswell Beach,caswellbeach.org,True,MONITOR_ONLY,none,100,no,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=none;
Catawba,townofcatawbanc.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Cedar Point,cedarpointnc.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Cedar Rock,villageofcedarrock.org,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Chadbourn,townofchadbourn.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),default,,v=spf1 include:spf.protection.outlook.com -all,"v=DMARC1; p=quarantine; rua=mailto:13b3d865@mxtoolbox.dmarc-report.com,mailto:dphillips212@gmail.com; ruf=mailto:13b3d865@forensics.dmarc-report.com,mailto:dphillips212@gmail.com; rf=afrf; sp=none; fo=d:s; adkim=r; aspf=r"
Chapel Hill,chapelhillnc.gov,True,MONITOR_ONLY,none,100,yes,softfail (~all),none of common selectors,,v=spf1 include:us._netblocks.mimecast.com ~all,v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email
Charlotte,charlottenc.gov,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),"selector1,selector2,s1,s2",,v=spf1 include:service.govdelivery.com include:_spf.kubra.com include:_spf.qualtrics.com include:spf-0096a701.pphosted.com ~all,v=DMARC1; p=quarantine; rua=mailto:postmaster@charlottenc.gov; pct=100
Cherryville,cityofcherryville.com,True,MONITOR_ONLY,none,100,no,hardfail (-all),selector1,,v=spf1 include:secureserver.net -all,v=DMARC1;p=none
Chimney Rock,chimneyrockvillagenc.gov,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
China Grove,chinagrovenc.gov,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Chocowinity,chocowinitync.gov,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=reject; rua=mailto:528f9d20@mxtoolbox.dmarc-report.com; ruf=mailto:528f9d20@forensics.dmarc-report.com; fo=1; pct=100
Claremont,cityofclaremont.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com exists:%{i}._spf.inkyphishfence.com -all,
Clarkton,townofclarkton.com,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Clayton,claytonnc.gov,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Clemmons,clemmons.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Cleveland,townofclevelandnc.gov,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Clinton,cityofclintonnc.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),"selector1,selector2",,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; pct=100; rua=mailto:iiengineering@stmc.net; ruf=mailto:iiengineering@stmc.net
Clyde,clydenc.us,True,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Coats,coatsnc.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),none of common selectors,,v=spf1 mx a ip4:24.159.160.168/32 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:postmaster@harnett.org; ruf=mailto:postmaster@harnett.org; rf=afrf; pct=100; ri=86400
Cofield,cofieldnc.gov,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Columbia,townofcolumbianc.com,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Columbus,columbusnc.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),"selector1,selector2,default",,v=spf1 ip4:208.90.172.172 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; rua=mailto:649thxke27@rua.powerdmarc.com; ruf=mailto:649thxke27@ruf.powerdmarc.com; t=n;
Concord,concordnc.gov,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector1,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;
Conetoe,conetoe-nc.com,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf.google.com ~all,
Connelly Springs,connellysprings.gov,True,NO_DMARC,NONE,,,softfail (~all),google,,v=spf1 include:_spf.google.com ~all,
Conover,conovernc.gov,True,MONITOR_ONLY,none,100,no,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=none;
Conway,townofconwaync.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 mx a ip4:69.16.238.125 -all,
Cooleemee,cooleemee.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),default,,v=spf1 +a +mx +ip4:108.178.20.198 include:spf.websitehostserver.net +ip4:173.236.63.6 +ip4:173.236.63.6 ~all,"v=DMARC1;p=quarantine;sp=none;adkim=r;aspf=r;pct=100;fo=1;rf=afrf;ri=86400;rua=mailto:3bcdf828@mxtoolbox.dmarc-report.com,mailto:merit@wordmastermediagroup.com;ruf=mailto:3bcdf828@forensics.dmarc-report.com,mailto:merit@wordmastermediagroup.com"
Cornelius,cornelius.org,True,MONITOR_ONLY,none,100,yes,softfail (~all),selector1,,v=spf1 include:us._netblocks.mimecast.com include:spf.protection.outlook.com ~all,v=DMARC1; p=none; pct=100; rua=mailto:dmarc-reports@cornelius.org; ruf=mailto:dmarc-reports@cornelius.org
Cramerton,cramerton.org,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com include:mail.smtp2go.com -all,v=DMARC1;p=reject;rua=mailto:212b5cec78@rua.easydmarc.us;ruf=mailto:212b5cec78@ruf.easydmarc.us;fo=1;
Creedmoor,cityofcreedmoor.org,True,MONITOR_ONLY,none,90,yes,hardfail (-all),selector2,,v=spf1 a:enotify.visioninternet.com IP4:40.133.83.18 include:spf-us.appmail.granicusgovaccess.net include:amazonses.com include:spf.protection.outlook.com -all,v=DMARC1;p=none;pct=90;rua=mailto:cody.dempsey@vc3.com;ruf=mailto:cody.dempsey@vc3.com;ri=86400;fo=1;
Creswell,townofcreswell.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:secureserver.net -all,
Dallas,dallasnc.net,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),"selector1,default",,v=spf1 +a +mx +ip4:198.136.61.225 +ip4:66.7.195.45 +ip4:98.129.145.194 include:spf.ess.barracudanetworks.com include:spf.protection.outlook.com -all,v=DMARC1;p=reject;sp=none;adkim=r;aspf=r;pct=100;fo=1;rf=afrf;ri=86400;rua=mailto:rua+dallasnc.net@dmarc.barracudanetworks.com;ruf=mailto:ruf+dallasnc.net@dmarc.barracudanetworks.com
Danbury,townofdanbury.org,True,NO_DMARC,NONE,,,softfail (~all),default,,v=spf1 ip4:67.222.31.214 +a +mx ~all,
Davidson,townofdavidson.org,True,MONITOR_ONLY,none,100,no,softfail (~all),selector1,,v=spf1 ip4:208.90.188.0/22 ip4:207.38.72.0/21 ip4:192.196.0.0/24 include:spf.protection.outlook.com ~all,v=DMARC1; p=none;
Denton,townofdenton.com,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),default,,v=spf1 ip4:35.215.102.119 ip4:77.104.139.208 a mx include:websitewelcome.com include:townofdenton.com.spf.auto.dnssmarthost.net ~all,v=DMARC1; p=quarantine; rua=mailto:webmaster@townofdenton.com
Dillsboro,dillsboronc.info,True,NO_DMARC,NONE,,,softfail (~all),default,,v=spf1 ip4:209.59.190.12 ip4:67.227.227.163 ip4:172.81.116.39 +a +mx +include:_spf.sitedarthosting.com +include:spf.antispamcloud.com ~all,
Dobbins Heights,dobbinsheights.com,False,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Dobson,dobson-nc.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 ip4:173.212.14.118 ip4:173.212.14.25 include:spf.protection.outlook.com include:spf.ess.barracudanetworks.com -all,
Drexel,townofdrexel.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf.google.com ~all,
Duck,ducknc.gov,True,ENFORCED_REJECT,reject,100,yes,softfail (~all),selector1,,v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email
Dunn,dunn-nc.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),none of common selectors,,v=spf1 mx a ip4:24.159.160.168/32 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:postmaster@harnett.org; ruf=mailto:postmaster@harnett.org; rf=afrf; pct=100; ri=86400
Durham,durhamnc.gov,True,MONITOR_ONLY,none,100,yes,no all mechanism,selector1,,v=spf1 redirect=_sfb44q39v.sdmarc.us,"v=DMARC1; p=none; fo=1; rua=mailto:a.fb44q39v@sdmarc.us,mailto:rua+durhamnc.gov@dmarc.barracudanetworks.com; ruf=mailto:ruf+durhamnc.gov@dmarc.barracudanetworks.com; adkim=r; aspf=r"
Earl,townofearl.org,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
East Arcadia,townofeastarcadia.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf.google.com ~all,
East Bend,eastbendnc.com,True,NO_DMARC,NONE,,,hardfail (-all),dkim,,v=spf1 include:spf.protection.outlook.com -all,
East Spencer,eastspencer.gov,True,ENFORCED_QUARANTINE,quarantine,100,no,hardfail (-all),selector1,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; pct=100
Eastover,eastovernc.com,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:spf.registeredsite.com include:spf.cloudus.oxcs.net ~all,
Eden,edennc.us,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector1,,v=spf1 mx ip4:70.60.239.50 ip4:98.101.97.2 include:spf.protection.outlook.com include:amazonses.com -all,v=DMARC1; p=reject; rua=mailto:ktaylor@edennc.us; ruf=mailto:ktaylor@edennc.us
